Observation ID,Incident_Type,Severity,Short Description,Cleaned_Description,Cluster
1,Software Bug,High,Customers unable to complete purchases due to checkout error,customer unable complete purchase due checkout,9
2,Server Outage,Critical,"Website down for 2 hours, causing major revenue loss",website 2 hour cause major revenue loss,52
3,Data Breach,High,"Sensitive customer data exposed, potential legal issues",sensitive customer datum expose potential legal issue,43
4,Software Bug,Medium,Incorrect pricing displayed on product pages,incorrect pricing display product page,15
5,Cyber Attack,Critical,Ransomware attack encrypted critical systems,ransomware attack encrypt critical system,10
6,Hardware Failure,Low,Printer in marketing department not working,printer marketing department work,83
7,Software Bug,High,Mobile app crashing on launch for iOS users,mobile app crashing launch ios user,13
8,Network Outage,Medium,Slow internet connection in the office,slow internet connection office,36
9,Data Breach,High,Employee login credentials compromised,employee login credential compromise,29
10,Software Bug,Low,Incorrect formatting on email templates,incorrect format email template,15
11,Server Outage,Critical,"Database server down, preventing access to customer records",database server prevent access customer record,77
12,Cyber Attack,High,Phishing attempt targeting employees,phishing attempt target employee,3
13,Hardware Failure,Medium,Faulty hard drive in accounting department computer,faulty hard drive accounting department computer,40
14,Software Bug,High,Customers unable to reset passwords due to system error,customer unable reset password due system,9
15,Network Outage,Low,Intermittent connectivity issues in the office,intermittent connectivity issue office,36
16,Data Breach,Critical,Unauthorized access to financial records,unauthorized access financial record,25
17,Software Bug,High,Incorrect calculations in financial reporting software,incorrect calculation financial reporting software,32
18,Server Outage,Medium,"Email server down, preventing incoming and outgoing emails",email server prevent incoming outgoing email,73
19,Cyber Attack,High,Distributed Denial of Service (DDoS) attack on website,distribute denial service ddo attack website,34
20,Hardware Failure,Low,Malfunctioning mouse in the CEO's office,malfunctioning mouse ceo office,14
21,Software Bug,High,Customers unable to update their profiles due to system error,customer unable update profile due system,9
22,Network Outage,Critical,Complete loss of internet connectivity in the office,complete loss internet connectivity office,36
23,Data Breach,High,Unauthorized access to employee payroll information,unauthorized access employee payroll information,25
24,Software Bug,Medium,Incorrect formatting on invoices generated by accounting software,incorrect formatting invoice generate accounting software,85
25,Server Outage,High,"Application server down, preventing access to critical business tools",application server prevent access critical business tool,16
26,Cyber Attack,Critical,Malware infection on multiple employee computers,malware infection multiple employee computer,78
27,Hardware Failure,Low,Faulty keyboard in the HR department,faulty keyboard hr department,14
28,Software Bug,High,Customers unable to track their orders due to system error,customer unable track order due system,9
29,Network Outage,Medium,Unauthorized access to employee health records,unauthorized access employee health record,25
30,Data Breach,High,Incorrect formatting on marketing materials,incorrect formatting marketing material,15
31,Software Bug,Low,Faulty hard drive in sales department computer,faulty hard drive sale department computer,40
32,Server Outage,Critical,Customers unable to cancel their subscriptions due to system error,customer unable cancel subscription due system,9
33,Cyber Attack,High,Unauthorized access to customer financial records,unauthorized access customer financial record,25
34,Hardware Failure,Medium,Incorrect calculations in inventory management software,incorrect calculation inventory management software,32
35,Software Bug,High,Malfunctioning printer in the marketing department,malfunctioning printer marketing department,83
36,Network Outage,Low,Customers unable to submit support tickets due to system error,customer unable submit support ticket due system,9
37,Data Breach,Critical,Unauthorized access to employee performance reviews,unauthorized access employee performance review,25
38,Software Bug,High,Incorrect formatting on reports generated by business intelligence software,incorrect formatting report generate business intelligence software,85
39,Server Outage,Medium,Faulty mouse in the sales department,faulty mouse sale department,14
40,Cyber Attack,High,Customers unable to access their account information due to system error,customer unable access account information due system,9
41,Hardware Failure,Low,Unauthorized access to employee personal information,unauthorized access employee personal information,25
42,Software Bug,High,Incorrect formatting on presentation slides,incorrect formatting presentation slide,15
43,Network Outage,Critical,Faulty hard drive in HR department computer,faulty hard drive hr department computer,40
44,Data Breach,High,Customers unable to make payments due to system error,customer unable make payment due system,9
45,Software Bug,Medium,Unauthorized access to employee salary information,unauthorized access employee salary information,25
46,Server Outage,High,Incorrect calculations in project management software,incorrect calculation project management software,32
47,Cyber Attack,Critical,Malfunctioning scanner in the accounting department,malfunction scanner accounting department,83
48,Hardware Failure,Low,Customers unable to update their billing information due to system error,customer unable update billing information due system,9
49,Software Bug,High,Unauthorized access to employee training records,unauthorized access employee training record,25
50,Network Outage,Medium,Faulty keyboard in the marketing department,faulty keyboard marketing department,14
51,Data Breach,High,Customers unable to access their purchase history due to system error,customer unable access purchase history due system,9
52,Software Bug,Low,Unauthorized access to employee disciplinary records,unauthorized access employee disciplinary record,25
53,Server Outage,Critical,Incorrect formatting on email signatures,incorrect format email signature,74
54,Cyber Attack,High,Faulty hard drive in IT department computer,faulty hard drive department computer,40
55,Hardware Failure,Medium,Customers unable to access their order tracking due to system error,customer unable access order track due system,9
56,Software Bug,High,Unauthorized access to employee medical records,unauthorized access employee medical record,25
57,Network Outage,Low,Incorrect calculations in financial forecasting software,incorrect calculation financial forecasting software,32
58,Data Breach,Critical,Malfunctioning printer in the sales department,malfunctioning printer sale department,83
59,Software Bug,High,Customers unable to access their support tickets due to system error,customer unable access support ticket due system,9
60,Server Outage,Medium,Unauthorized access to employee compensation records,unauthorized access employee compensation record,25
61,Cyber Attack,High,Faulty mouse in the HR department,faulty mouse hr department,14
62,Hardware Failure,Low,Customers unable to access their account settings due to system error,customer unable access account setting due system,9
63,Software Bug,High,"Website down for 3 hours, causing major revenue loss",website 3 hour cause major revenue loss,52
64,Network Outage,Critical,Printer in HR department not working,printer hr department work,83
65,Data Breach,High,Mobile app crashing on launch for Android users,mobile app crashing launch android user,13
66,Software Bug,Medium,Malfunctioning printer in the accounting department,malfunctioning printer accounting department,83
67,Server Outage,High,Error in calculating total sales commission,calculate total sale commission,32
68,Cyber Attack,Critical,Server crash due to power surge,server crash due power surge,53
69,Hardware Failure,Low,Incorrect data displayed in the customer portal,incorrect datum display customer portal,45
70,Software Bug,High,Laptop battery not charging properly,laptop battery charge properly,47
71,Network Outage,Medium,Firewall blocking access to essential websites,firewall block access essential website,0
72,Data Breach,High,Glitch in the automated email scheduler,glitch automate email scheduler,46
73,Software Bug,Low,Printer not functioning due to paper jam,printer function due paper jam,83
74,Server Outage,Critical,VPN connection dropping frequently,vpn connection drop frequently,26
75,Cyber Attack,High,Incorrect calculations in the financial reporting tool,incorrect calculation financial reporting tool,32
76,Hardware Failure,Medium,Faulty RAM causing system crashes,faulty ram cause system crash,76
77,Software Bug,High,Intermittent connectivity issues with the cloud storage,intermittent connectivity issue cloud storage,44
78,Network Outage,Low,Incorrect formatting in the PDF export feature,incorrect format pdf export feature,15
79,Data Breach,Critical,Hard drive failure on a critical server,hard drive failure critical server,6
80,Software Bug,High,Unauthorized access attempts detected on the firewall,unauthorized access attempt detect firewall,50
81,Server Outage,Medium,Incorrect sorting in the customer database,incorrect sort customer database,25
82,Cyber Attack,High,Faulty power supply in the office workstation,faulty power supply office workstation,12
83,Hardware Failure,Low,Slow response times from the API server,slow response time api server,60
84,Software Bug,High,Incorrect formatting in the Excel export feature,incorrect format excel export feature,15
85,Network Outage,Critical,Faulty RAID controller causing data loss,faulty raid controller cause data loss,75
86,Data Breach,High,Unauthorized access attempts detected on the VPN,unauthorized access attempt detect vpn,50
87,Software Bug,Medium,Incorrect calculations in the inventory management system,incorrect calculation inventory management system,32
88,Server Outage,High,Faulty HDMI port on the conference room display,faulty hdmi port conference room display,47
89,Cyber Attack,Critical,Slow response times from the cloud storage service,slow response time cloud storage service,60
90,Hardware Failure,Low,Intermittent connectivity issues with the VPN,intermittent connectivity issue vpn,71
91,Software Bug,High,Incorrect sorting in the employee database,incorrect sort employee database,25
92,Network Outage,Medium,Faulty power supply in the data center server,faulty power supply datum center server,12
93,Data Breach,High,Incorrect formatting in the CSV export feature,incorrect format csv export feature,15
94,Software Bug,Low,Incorrect calculations in the payroll system,incorrect calculation payroll system,32
95,Server Outage,Critical,Faulty RAID controller causing data,faulty raid controller cause datum,75
96,Software Bug,High,Login failure for multiple users,login failure multiple user,33
97,Software Bug,Medium,Unexpected application crash during data import,unexpected application crash datum import,81
98,Software Bug,Low,Minor UI glitch in the settings page,minor ui glitch setting page,70
99,Server Outage,High,Data synchronization issue between servers,data synchronization server,59
100,Software Bug,Medium,Slow performance on the dashboard,slow performance dashboard,19
101,Cyber Attack,High,Security vulnerability found in user authentication,security vulnerability find user authentication,18
102,Documentation,Low,Typo in the user manual,typo user manual,4
103,Software Bug,Medium,Email notifications not being sent,email notification send,46
104,Server Outage,High,Server downtime affecting all users,server downtime affect user,1
105,Software Bug,Medium,API response time exceeding limits,api response time exceed limit,60
106,Documentation,Low,Outdated library version warning,outdated library version warn,68
107,Data Breach,High,Data loss reported after last update,data loss report last update,59
108,Feature Request,Medium,Feature request for dark mode,feature request dark mode,23
109,Software Bug,Low,Incorrect tooltip text in the application,incorrect tooltip text application,74
110,Server Outage,High,Third-party service outage impacting functionality,thirdparty service outage impacting functionality,65
111,Feature Request,Medium,User feedback on navigation issues,user feedback navigation issue,51
112,Documentation,Low,Missing help documentation for new features,miss help documentation new feature,23
113,Software Bug,High,Critical bug in payment processing module,critical bug payment processing module,20
114,Software Bug,Medium,Inconsistent data displayed on reports,inconsistent datum display report,45
115,Software Bug,Low,Color contrast issue in the footer,color contrast footer,4
116,Cyber Attack,High,Unauthorized access attempt detected,unauthorized access attempt detect,50
117,Software Bug,Medium,User interface not responsive on mobile,user interface responsive mobile,70
118,Feature Request,Low,Feedback on loading animation speed,feedback loading animation speed,19
119,Hardware Failure,High,Backup failure leading to data loss,backup failure lead datum loss,75
120,Software Bug,Medium,Integration issue with third-party API,integration thirdparty api,84
121,Documentation,Low,Minor spelling error in the footer,minor spelling footer,4
122,Cyber Attack,High,Malware detected in the application,malware detect application,38
123,Software Bug,Medium,User unable to reset password,user unable reset password,35
124,Feature Request,Low,Request for additional language support,request additional language support,23
125,Server Outage,High,Performance degradation during peak hours,performance degradation peak hour,87
126,Software Bug,Medium,Feature not working as intended,feature work intend,28
127,Software Bug,Low,Visual inconsistency in the dashboard,visual inconsistency dashboard,88
128,Data Breach,High,Data breach reported,data breach report,2
129,Software Bug,Medium,User unable to access account settings,user unable access account setting,35
130,Feature Request,Low,Request for improved error messages,request improve message,23
131,Cyber Attack,High,Server security patch not applied,server security patch apply,24
132,Software Bug,Medium,Unexpected logout during session,unexpected logout session,33
133,Documentation,Low,Request for additional training materials,request additional training material,23
134,Software Bug,High,Critical error in data migration process,critical datum migration process,30
135,Software Bug,Medium,User interface lagging during updates,user interface lagging update,19
136,Feature Request,Low,Request for feature clarification,request feature clarification,23
137,Software Bug,High,Payment gateway not functioning,payment gateway functioning,20
138,Feature Request,Medium,User feedback on feature usability,user feedback feature usability,51
139,Feature Request,Low,Request for more customization options,request customization option,23
140,Software Bug,High,System crash during peak usage,system crash peak usage,54
141,Software Bug,Medium,Email formatting issues,email formatting issue,74
142,Software Bug,Low,Minor layout issue on the homepage,minor layout homepage,70
143,Cyber Attack,High,Unauthorized data access detected,unauthorized data access detect,69
144,Software Bug,Medium,User unable to upload files,user unable upload file,35
145,Feature Request,Low,Request for a new color scheme,request new color scheme,23
146,Software Bug,High,Data corruption in user profiles,datum corruption user profile,45
147,Feature Request,Medium,Feature request for multi-language support,feature request multilanguage support,28
148,Documentation,Low,Typo in the error message,typo message,74
149,Cyber Attack,High,Critical vulnerability in the API,critical vulnerability api,24
150,Feature Request,Medium,User feedback on navigation improvements,user feedback navigation improvement,51
151,Feature Request,Low,Request for improved onboarding process,request improve onboarding process,23
152,Server Outage,High,Server overload causing downtime,server overload cause downtime,1
153,Software Bug,Medium,User unable to access premium features,user unable access premium feature,35
154,Feature Request,Low,Request for a mobile app version,request mobile app version,70
155,Software Bug,High,Data synchronization failure,data synchronization failure,59
156,Software Bug,Medium,User interface not displaying correctly,user interface display correctly,48
157,Documentation,Low,Request for more API documentation,request api documentation,23
158,Cyber Attack,High,Security audit failure,security audit failure,31
