Observation ID,Incident_Type,Severity,Short Description
1,Software Bug,High,Customers unable to complete purchases due to checkout error
2,Server Outage,Critical,"Website down for 2 hours, causing major revenue loss"
3,Data Breach,High,"Sensitive customer data exposed, potential legal issues"
4,Software Bug,Medium,Incorrect pricing displayed on product pages
5,Cyber Attack,Critical,Ransomware attack encrypted critical systems
6,Hardware Failure,Low,Printer in marketing department not working
7,Software Bug,High,Mobile app crashing on launch for iOS users
8,Network Outage,Medium,Slow internet connection in the office
9,Data Breach,High,Employee login credentials compromised
10,Software Bug,Low,Incorrect formatting on email templates
11,Server Outage,Critical,"Database server down, preventing access to customer records"
12,Cyber Attack,High,Phishing attempt targeting employees
13,Hardware Failure,Medium,Faulty hard drive in accounting department computer
14,Software Bug,High,Customers unable to reset passwords due to system error
15,Network Outage,Low,Intermittent connectivity issues in the office
16,Data Breach,Critical,Unauthorized access to financial records
17,Software Bug,High,Incorrect calculations in financial reporting software
18,Server Outage,Medium,"Email server down, preventing incoming and outgoing emails"
19,Cyber Attack,High,Distributed Denial of Service (DDoS) attack on website
20,Hardware Failure,Low,Malfunctioning mouse in the CEO's office
21,Software Bug,High,Customers unable to update their profiles due to system error
22,Network Outage,Critical,Complete loss of internet connectivity in the office
23,Data Breach,High,Unauthorized access to employee payroll information
24,Software Bug,Medium,Incorrect formatting on invoices generated by accounting software
25,Server Outage,High,"Application server down, preventing access to critical business tools"
26,Cyber Attack,Critical,Malware infection on multiple employee computers
27,Hardware Failure,Low,Faulty keyboard in the HR department
28,Software Bug,High,Customers unable to track their orders due to system error
29,Network Outage,Medium,Unauthorized access to employee health records
30,Data Breach,High,Incorrect formatting on marketing materials
31,Software Bug,Low,Faulty hard drive in sales department computer
32,Server Outage,Critical,Customers unable to cancel their subscriptions due to system error
33,Cyber Attack,High,Unauthorized access to customer financial records
34,Hardware Failure,Medium,Incorrect calculations in inventory management software
35,Software Bug,High,Malfunctioning printer in the marketing department
36,Network Outage,Low,Customers unable to submit support tickets due to system error
37,Data Breach,Critical,Unauthorized access to employee performance reviews
38,Software Bug,High,Incorrect formatting on reports generated by business intelligence software
39,Server Outage,Medium,Faulty mouse in the sales department
40,Cyber Attack,High,Customers unable to access their account information due to system error
41,Hardware Failure,Low,Unauthorized access to employee personal information
42,Software Bug,High,Incorrect formatting on presentation slides
43,Network Outage,Critical,Faulty hard drive in HR department computer
44,Data Breach,High,Customers unable to make payments due to system error
45,Software Bug,Medium,Unauthorized access to employee salary information
46,Server Outage,High,Incorrect calculations in project management software
47,Cyber Attack,Critical,Malfunctioning scanner in the accounting department
48,Hardware Failure,Low,Customers unable to update their billing information due to system error
49,Software Bug,High,Unauthorized access to employee training records
50,Network Outage,Medium,Faulty keyboard in the marketing department
51,Data Breach,High,Customers unable to access their purchase history due to system error
52,Software Bug,Low,Unauthorized access to employee disciplinary records
53,Server Outage,Critical,Incorrect formatting on email signatures
54,Cyber Attack,High,Faulty hard drive in IT department computer
55,Hardware Failure,Medium,Customers unable to access their order tracking due to system error
56,Software Bug,High,Unauthorized access to employee medical records
57,Network Outage,Low,Incorrect calculations in financial forecasting software
58,Data Breach,Critical,Malfunctioning printer in the sales department
