,Observation ID,Long Description,Primary Product,Product Version,Short Description,Steps to Reproduce
0,1951175,"QG Inc Software Center with POCO
--------------------------------------
Zbook 14u G6 (Coronado 14w) (Machine ID: 10314500154)
BIOS: R70 Ver. 01.05.03 , 4/27/20202
OS: Windows 10 x64 RS5
Intel UHD Graphics 620: 26.20.100.7756
AMD Radeon WX3200: 27.20.11023.9002
TPV QG Inc Z25xs G3 Firmware: LIM111
QG Inc Software Center v 1.0.23
DDC CI: Enabled Mode.
Log: (Refer to the file: QG Inc Software Center Log.txt)
Also are you first connecting the monitor and then opening the QG IncDC : NO
--------------------------------------
[Verification] 
1. According to the QG Inc Simone software test case definition, the error screen does NOT match with the SPEC definition. (Please refer to the attachment: spec-1, spec-2.jpg)
2. The problem is also observed after doing the following steps and then repeating the same scenario 9-11:
 a. Reboot the system
 b. Reset the monitor to the factory settings
 c. AC off/ on the monitor
 d. DC off/ on the monitor
 e. Reinstalling the QG Inc Software Center application
3. The problem is also observed after changing to other DP cable.
4. The problem is also observed after changing to other QG Inc USB-C to DP adapter.
5. The problem is also observed on the other configurations listed in the test plan.
--------------------------------------
[Cross Reference]
The problem is also observed on the following LCD monitors:
1. TPV Z27xs G3 (Native timing: 3840x2160 @ 60Hz, Machine ID: T581-0013259)
2. TPV Z25xs G3 (Native timing: 2560x1440 @ 60Hz, Machine ID: T581-0012780)",Func Tst - Display,Display - alizon,"alizon_031/ POCO v1.0.23/ Zbook 14u G6 (Coronado 14w) / TPV QG Inc Z25xs G3/ POCO: The ""Disconnect multiple instruments"" screen can't show up after connecting multiple colorimeters then executing calibration.","1. Connect the DP cable from DUT to the system. (With QG Inc USB-C to DP adapter)
2. Connect the USB-C to USB-A cable from DUT to the system. 
3. Power on the DUT.
4. Power on the system and boot up to Windows desktop.
5. The system detects the DUT as Generic PnP Monitor properly.
6. Connect the X-Rite i1 Pro to system. (Machine ID: 10219903875)
7. Connect the X-Rite i1Display Pro to system.
8. Launch the QG Inc Software Center with POCO.
9. Navigate to the 'Summary' popup then press the 'Done' button
10. The ""Xrite Pro Detection"" screen show up.
11. The ""Disconnect multiple instruments"" screen can't show up after connecting multiple colorimeters then executing calibration."
1,2007025,"QG Inc Software Center: DVT
--------------------------------------
QG Inc ZBook 15 G7 (Valerian)
BIOS: QG Inc S92 Ver. 01.04.01, 1/5/2021
OS: Windows 10 x64 21H2
AMD Radeon RX 5500M: 27.20.14534.1003
Intel UHD Graphics: 27.20.100.8853
Monitor: TPV E27m G4 (Machine ID: 110001-0000391)
Monitor FW Version: AIT001_20210718
Monitor Package Version: v0.1.14.0
DDC CI: Enabled Mode
VCP code tester (Refer to the file: VCP Code.jpg, VCP Code.txt)
Log: QG IncSoftwareCenterLog.log.20210726.active
Also are you first connecting the monitor and then opening the QG IncDC : YES
--------------------------------------
[Verification] 
1. According to the QG Inc_Simone_Software TCs definition, audio function CAN work properly and audio volume sync with OSD audio volume while adjusting the 'Speaker Volume' slider bar. (Please refer to attached file: SIM_577.jpg, SIM_579.jpg, QG Inc_Simone_Software TC.xlsm)
2. The problem is also observed after doing the following steps and then repeating the same scenario 6-9:
 a. Reboot the system
 b. Reset the monitor to the factory settings
 c. AC off/ on the monitor
 d. DC off/ on the monitor
 e. Reinstalling the QG Inc Software Center application
3. The problem is also observed after changing to other DP cable. (Cable Vendor: Feitai)
4. The problem is NOT observed after connecting USB-C cable.
5. The problem is also observed on the DP and HDMI interface listed in the test plan. 
",Func Tst - Display,Display - alizon,alizon_212/ Display(QG Inc Software Center)/ QG IncDC Version: 1.0.32/ QG Inc ZBook 15 G7 (Valerian) / TPV E27m G4/ DVT: The monitor hub audio volume CANNOT change and sync with OSD Audio volume while adjusting the 'Speaker Volume' slider bar of QG IncDC Audio card.,"1. Connect the DP cable with mDP to DP adapter from TPV E27m G4 monitor to the system. (Cable Vendor: Coxoc)
2. Connect USB-C to USB-A cable from TPV E27m G4 monitor to the system.
3. Power on the monitor.
4. Power on the system and boot up to Windows desktop.
5. Check the system detects the camera properly.
6. Set audio play device to Echo Cancelling Speakerphone (QG Inc E27m).
7. Launch the QG Inc Software Center. 
8. Select QG Inc E27m G4 monitor card on left pane. 
9. Select the Audio tab.
10. Slide the 'Speaker Volume' slider in Audio card and check the sound.
11. The sound does not respond when sliding the 'Speaker Volume' slider in the Audio card. (Refer to the file: Fail.mp4)"
2,2040113,"QG Inc Software Center: DVT
--------------------------------------
QG Inc Zbook Fury 15 G7 (Machine ID: 10314500379)
BIOS: QG Inc S92 Ver.01.04.01, 1/5/2021
OS: Windows 10 x64 21H2 Build 21376.1
Intel UHD Graphics: 27.20.100.9664
NVIDIA Quadro T2000 with Max-Q Design: 27.21.14.6294
QG IncDC Version: v1.0.40.0
DUT: Western QG Inc Z40c G3 (Kronos) (Machine ID: 110001-0000383)
DUT FW Version: DVT038_20211005
DUT Package Version: v0.0.21.0
Dongle: mDP to DP adapter (Machine ID: 80218881138)
VCP code tester (Refer to the file: VCP Code.jpg, VCP Code.txt)
Log: QG IncSoftwareCenterLog.active
DDC CI: Enabled Mode
Also are you first connecting the monitor and then opening the QG IncDC : YES
--------------------------------------
[Verification] 
1. According to the QG Inc Simone Software TCs definition, Enhanced lighting layer should be displayed properly in the external monitor. (Please refer to attached file: SPEC.jpg, QG Inc_Simone_Software TC v3.6_Beta3_0929.xlsm)
2. The problem is also observed after doing the following steps and then repeating the same scenario 9-17:
 a. Reboot the system
 b. Reset the monitor to the factory settings
 c. AC off/ on the monitor
 d. DC off/ on the monitor
 e. Reinstalling the QG Inc Software Center application
3. The problem is also observed after changing to other DP cable. (Cable Vendor: Feitai)
4. The problem is also observed after changing to other mDP to DP adapter. (Machine ID: 80218881428)
5. The problem is NOT observed on the following Enhanced Lighting shapes:
 a. Vertical bars
 b. Horizontal bars
6. The problem is NOT observed on the following Enhanced Lighting settings:
 a. Color
 b. Brightness
 c. Transparency
7. The problem is also observed on all the other configurations in the test plan.
--------------------------------------
[Cross Reference]
The problem is also observed on the following other Monitors:
 a. QG Inc E34m G4 (FW: XVT001_20211005_v1.2.1.0, Native timing: 3440x1440 @ 75Hz, Machine ID: 110001-0000412)
 b. QG Inc Z34c G3 (Hemi) (FW: LIM141_20210916_v1.0.4.0, Native timing: 3440x1440 @ 60Hz, Machine ID: 110001-0000343)
 c. QG Inc E24mv G4 (FW: AIM131_20210903_v1.0.2.0, Native timing: 1920x1080 @ 60Hz, Machine ID: 110001-0000175)",Func Tst - Display,Display - alizon,"alizon_221/ Display (QG Inc Z40c G3 (Kronos))/ QG Inc Software Center Version: 1.0.40.0/ QG Inc Zbook Fury 15 G7/ DVT: The ""Rectangular"" and ""Circle"" shape size change to the default value after changing resolution from QG IncDC. ","1. Connect the DP cable with mDP to DP adapter from QG Inc Z40c G3 monitor to the system. (Cable Vendor: Hotron)
2. Connect USB-C to USB-A cable from monitor to the system.
3. Power on the monitor.
4. Power on the system and boot up to Windows desktop.
5. The system detects QG Inc Z40c G3 as Generic PnP Monitor properly.
6. Set the QG Inc Z40c G3 as primary display and the built-in LCD as extend monitor.
7. Set desktop timing to 5120x2160 @ 60Hz.
8. Check the system detects the camera properly.
9. Launch the QG Inc Software Center. 
10. Select QG Inc Z40c G3 monitor card on left pane. 
11. Select the ""CAMERA"" tab.
12. Turn on Enhanced Lighting setting.
13. Click Lighting Shape ""Rectangular"".
14. Sliding the ""Size slider"" to any value. 
15. Select the ""INPUT"" tab.
16. Change any resolution.
17. Check the Enhanced Lighting size on monitor.
18. The ""Rectangular"" and ""Circle"" shape size change to the default value after changing resolution from QG IncDC. (Please refer to attached file: Fail.mp4) 
"
3,2042034,"Western QG Inc Z24q G3 Monitor: DVT
--------------------------------------
QG Inc EliteBook x360 1040 G8 Notebook PC (Machine ID:10314500423)
BIOS: QG Inc T93 Ver.01.04.01, 6/1/2021
OS: Windows 10 x64 20H2
Intel® Iris® Xe Graphics: 27.20.100.9664
QG IncDC Version: v1.0.40.0

Machine ID: 110001-0000589
DUT FW Version: EITF01_20211021 (Package Version: 0.0.4.0)
 
VCP code tester (Refer to the file: VCP Code.jpg, VCP Code.txt)
Log: QG Inc Software Center Log.txt
DDC CI: Enabled Mode
Also are you first connecting the monitor and then opening the QG IncDC : YES
--------------------------------------
[Verification] 
1. According to the QG Inc Simone software TCs definition, the ""RGB Gain"" card should be shown up on the ""Color"" tab after selecting any color options on the ""Color"" card. (Please refer to attached file: SPEC.JPG)
2. The problem is also observed after doing the following steps and then repeating the same scenario 4-6:
 a. Reboot the system
 b. Reset the monitor to the factory settings
 c. AC off/ on the monitor
 d. DC off/ on the monitor
 e. Reinstalling the QG Inc Software Center application
3. The problem is also observed after changing to the following HDMI cables:
 a. Cable Vendor: Fei-tai
 b. Cable Vendor: HongLin
4. The problem is also observed after changing to other DP cables.
5. The problem is also observed from selecting to the following option:
 a. BT.709
 b. sRGB(D65)
 c. P3(D65)
 d. Full/Native
 e. Warm
 f. Cool
 g. Neutral
 h. QG IncEnhance
 i. ColorMatch
6. The problem is also observed on all configurations listed in the test plan. 
--------------------------------------
[Cross Reference]
The problem is also observed on the other DUTs. (Machine ID: 110001-0000588, 110001-0000591, 110001-0000592, 110001-0000593)",Func Tst - Display,Display - alizon,"alizon_F034/ Display (Western QG Inc Z24q G3)/ QG IncDC Version: 1.0.40.0/ QG Inc EliteBook x360 1040 G8 Notebook PC/ The ""RGB Gain"" card grey out randomly on the ""Color"" tab after selecting any color options on the ""Color"" card.","1. Connect HDMI cable from DUT to the system. (Cable Vendor: Hotron)
2. Power on the DUT.
3. Power on the system and boot up to Windows desktop.
4. Launch the QG Inc Software Center.
5. Select QG Inc Z24q G3 monitor icon on left pane and select the ""Color"" tab.
6. Select any color options on the ""Color"" card.
7. The ""RGB Gain"" card grey out randomly on the ""Color"" tab after selecting any color options on the ""Color"" card. (Please refer to attached file: Fail.mp4)"
4,2044258,"QG Inc Software Center: DVT
--------------------------------------
QG Inc Zbook Fury 15 G7 (Machine ID: 10314500379)
BIOS: QG Inc S92 Ver. 01.06.00,7/28/2021
OS: Windows 10 x64 21H2 Build 21376.1
Intel(R) UHD Graphics: 27.20.100.9664
NVIDIA Quadro T2000 with Max-Q Design: 27.21.14.6294
QG IncDC Version: v1.0.40.0

DUT: TPV M24 (Machine ID: 110001-0000460)
DUT FW Version: DIM121_20211021
DUT Package Version: v1.0.2.0
Dongle: mDP to DP adapter (Machine ID: 80218881138)

VCP code tester (Refer to the file: VCP Code.jpg, VCP Code.txt)
Log: QG IncSoftwareCenterLog.active
DDC CI: Enabled Mode
Also are you first connecting the monitor and then opening the QG IncDC : YES
--------------------------------------
[Verification] 
1. After the problem occurred, change input with active source manually from OSD Menu then the display screen CAN display normally and QG IncDC setting CAN sync with the external monitor.
2. The problem is also observed after doing the following steps and then repeating the same scenario 7-13:
 a. Reboot the system
 b. Reset the monitor to the factory settings
 c. AC off/ on the DUT
 d. DC off/ on the DUT
 e. Reinstalling the QG Inc Software Center application
3. The problem is also observed after changing to other DP cable. 
4. The problem is also observed after changing to other mDP to DP adapter. 
5. The problem is NOT observed after changing input to active source before the monitor enter to sleep mode.
--------------------------------------
[Cross Reference]
1. The problem is also observed on QG Inc M27 LCD monitor. (FW: DIM131_20211021_1.1.2.0, Native timing: 1920x1080 @ 75Hz, Machine ID: 110001-0000468)
2. The problem is NOT observed on the following other Monitors:
 a. QG Inc E27m G4 (FW: AIT121_20210915_1.1.2.0, Native timing: 2560x1440 @ 75Hz, Machine ID: 110001-0000392) 
 b. QG Inc E24m G4 (FW: IIT121_20210915_1.0.2.0, Native timing: 1920x1080 @ 60Hz, Machine ID: 110001-0000377)",Func Tst - Display,Display - alizon,alizon_227/ Display(TPV QG Inc M24)/ QG Inc Software Center Version: 1.0.40.0/ QG Inc Zbook Fury 15 G7/ DVT: The QG IncDC setting CANNOT sync with external monitor after disabling the Auto switch Input and changing to other input with inactive source.,"1. Connect the DP cable with mDP to DP adapter from QG Inc M24 monitor to the system. (Cable Vendor: Hotron)
2. Power on the QG Inc M24.
3. Power on the system and boot up to Windows desktop.
4. The system detects the QG Inc M24 as Generic PnP Monitor properly.
5. Set the QG Inc M24 as the primary display and the built-in LCD as extend monitor.
6. Set the desktop timing to 1920x1080 @ 75Hz.
7. Launch the QG Inc Software Center. 
8. Select QG Inc M24 monitor card on left pane.
9. Disable the Auto switch Input.
10. Select any of the input with inactive source.
11. Wait the monitor enter to sleep mode.
12. Select DP input.
13. Check Input setting of OSD Menu.
14. Input setting CANNOT sync with external monitor after disabling the Auto switch Input and changing to other input with inactive source. (Please refer to attached file: Fail.mp4)"
5,2056171,"QG Inc ZBook Studio 15.6 Inch G8 Mobile Workstation PC / Windows11 21H2 / Win11 Pro / Hybrid / Non Ad-hoc / Always (2 out of 2 unit, 6 out of 6 times)

Image: 21WWMDBZ6AM
OS Version: Win11 Pro 21H2 build22000.318
BIOS/KBC Version: 01.07.00/53.24.00

Fail units:
ModenaMV22U04TPE (3 out of 3 times)
ModenaMV54U04TPE (3 out of 3 times)
************************************************************
Z34c PV1.2#2 FW: 1.0.6.0
QG IncDC: v1.0.40.0
************************************************************
Test Plan: Module NB Accessory Hemi10 Z34c G3 FW 1.0.6.0 PD Monitor Focus Test
Script: [Display Validation] P1_SW Installation
#13 Contrast:
Sliding the Contrast slider to adjust to any one value that different default settings. 


Issue description:
Boot to OS and install QG IncDC from Microsoft store.
Open QG Inc Software Center app, and click Display page.
Sliding the Contrast slider to adjust to any value.
Found QG Inc Z34c show garbage screen (Horizontal line) while adjust Contrast value.

Cannot reproduce with adjust Contrast value via monitor OSD button.
Cannot reproduce with QG Inc E34m G4/ QG Inc E27m G4 monitor)
(QG Inc E34m G4 FW:1.2.1.0, 3440*1440 60hz / QG Inc E27m G4 FW:1.1.3.0,2560*1140 60hz)

Please refer to attachment.",Func Tst - Display,Display - compact,Module-ACC-NB-CMP/Modena/W11/SUS: QG Inc Z34c show garbage screen (Horizontal line) while adjust QG IncDC Contrast slider bar. [Z34c G3_PV1.2_30A19AA],"1. Boot to OS and install QG IncDC from Microsoft store.
2. Open QG Inc Software Center app, and click Display page.
3. Sliding the Contrast slider to adjust to any value.
4. Found QG Inc Z34c show garbage screen (Horizontal line) while adjust Contrast value. 
"
6,2057107,"QG Inc ZBook Studio 15.6 Inch G8 Mobile Workstation PC / Windows11 21H2 / Win11 Pro / Hybrid / Non Ad-hoc / Always (2 out of 2 unit, 6 out of 10 times)

Image: 21WWMDBZ6AM
OS Version: Win11 Pro 21H2 build22000.318
BIOS/KBC Version: 01.07.00/53.24.00

Fail units:
ModenaMV22U04TPE (3 out of 5 times)
ModenaMV54U04TPE (3 out of 5 times)
************************************************************
Z34c PV1.2#2 FW: 1.0.6.0
QG IncDC: v1.0.40.0
Luna#5: FW006
Gabba#2:FW0017
************************************************************
Test Plan: Module NB Accessory Hemi10 Z34c G3 FW 1.0.6.0 PD Monitor Focus Test
Script: [Display Validation] P1_Color Tab
#9 Custom RGB:
Drag the Red slider to any value that different with the default settings.

Issue description:
Boot to OS and install QG IncDC from Microsoft store.
Hot plug DP cable to unit via Luna dongle.
Open QG Inc Software Center app, and click Color page.
Drag the Red/Green/Blue slider to any value, and check function workable.
Unplug Luna then hot plug HDMI cable via Gabba dongle.
Wait HDCP refresh then drag the Red/Green/Blue slider to any value.
Found RGB Gain function lost, screen color chroma not change, and show incorrect value. (maximum should be 255)
And sometimes we found Red/Green/Blue slider unable to adjust after swap monitor input.

This issue can reproduce when monitor swap input from DP to HDMI or HDMI to DP.
Fail symptom can be resolve by exit QG IncDC app then open QG IncDC app again.

Please refer to attachment. 
",Func Tst - Display,Display - compact,Module-ACC-NB-CMP/Modena/W11/SUS: RGB Gain function abnormal after swap monitor input between DP and HDMI.[Z34c G3_PV1.2_30A19AA],"1. Boot to OS and install QG IncDC from Microsoft store.
2. Hot plug DP cable to unit via Luna dongle.
3. Open QG Inc Software Center app, and click Color page.
4. Drag the Red/Green/Blue slider to any value, and check function workable.
5. Unplug Luna then hot plug HDMI cable via Gabba dongle.
6. Drag the Red/Green/Blue slider to any value in QG IncDC\Color page.
7. Found RGB Gain function lost, screen color chroma not change, and show incorrect value. (maximum should be 255)."
7,2072739,"QG Inc Software Center: DVT
--------------------------------------
QG Inc Spectre x360 Convertible 13t-aw200 (Machine ID: 10314500566)
BIOS: AMI F.13, 4/1/2021
OS: Windows 11 x64 21H2 Build 22000.376
Intel(R) Iris(R) Xe Graphics: 27.20.100.9079
QG IncDC Version: v1.0.43.0

DUT: Western Z40c G3 (Machine ID: 110001-0000383)
DUT FW Version: LIM101_20211122
DUT Package Version: v1.0.3.0

VCP code tester (Refer to the file: VCP Code.jpg, VCP Code.txt)
DDC CI: Enabled Mode
Also are you first connecting the monitor and then opening the QG IncDC : YES
--------------------------------------
[Verification]
1. The problem is also observed after doing the following steps and then repeating the same scenario 8-15:
 a. Reboot the system
 b. Reset the monitor to the factory settings
 c. AC off/ on the monitor
 d. DC off/ on the monitor
 e. Reinstalling the QG Inc Software Center application
3. The problem is also observed after changing to other TBT cables.
4. The problem is also observed after changing to the following interfaces:
 a. HDMI
 b. DP (With QG Inc USB-C to DP adapter)
5. The problem is also observed after changing system OS to Windows 10.
6. The problem is also observed after changing to following languages:
 a. French
 b. German
 c. Spanish
 d. Italian
 e. Russian
 f. Japanese
 g. Simplified Chinese
 h. Portuguese
7. The problem is also observed on Advanced tab to the following items (Please refer to attached file: Fail-1.jpg):
 a. ""Save Settings"" title
 b. ""Save Settings"" info
8. The problem is also observed on ""Device Bridge"" tab to the following items:
 a. ""Learn more"" link (Please refer to attached file: Fail-2.jpg)
 b. ""FileTransfer"" info (Please refer to attached file: Fail-3.jpg)
 c. ""Checking for device bridge updates..."" characters from click ""check for updates"" button after Installed Device Bridge page. (Please refer to attached file: Fail-4.jpg)
10. The problem is NOT observed on ""Face Auto Exposure"" item from ""Camera"" tab.
11. The problem is also observed on all the other configurations in the test plan.",Func Tst - Display,Display - alizon,alizon_003/ Display (Western Z40c G3)/ QG IncDC v1.0.43.0/ QG Inc Spectre x360 Convertible 13t-aw200/ DVT: Some of the characters still show English string after changing Windows display language to other regions.,"1. Connect the TBT cable from QG Inc Z40c G3 monitor to the system.
2. Connect ethernet to the system.
3. Power on the monitor.
4. Power on the system and boot up to Windows desktop.
5. The system detects QG Inc Z40c G3 as Generic PnP Monitor properly.
6. Set the QG Inc Z40c G3 as the primary display and the built-in LCD as extend monitor.
7. Set desktop timing to 5120x2160 @ 60Hz.
8. Set Windows display language as Chinese Traditional. (Region setting: Recommend)
9. Sign out then sign in the system again.
10. Launch the QG Inc Software Center.
11. Select QG Inc Z40c G3 monitor card on left pane.
12. Select the ""DEVICE BRIDGE"" tab.
13. Click the ""Tutorial"" button.
14. Click the ""Next"" button to page 3 ""Getting started-Connecting the Cables"".
15. The ""Getting started-Connecting the Cables"" title NOT shows comply with Windows language setting.
16. Some of the characters still show English string after changing Windows display language to other regions. (Please refer to attached file: Fail.jpg)"
8,2074581,"QG Inc Software Center: DVT
--------------------------------------
QG Inc Zbook Fury 15 G7 (Machine ID: 10314500379)
BIOS: QG Inc S92 Ver. 01.07.00, 11/4/2021
OS: Windows 10 x64 21H1
Intel(R) UHD Graphics: 30.0.100.9864
NVIDIA Quadro T2000 with Max-Q Design: 30.0.14.7242
QG IncDC Version: v1.0.43.0
Monitor: Western QG Inc Kronos Z40c G3 (Machine ID: 110001-0000382)
Monitor FW Version: LIM101_20211214
Monitor Package Version: v1.0.4.0
VCP code tester (Refer to the file: VCP Code.jpg, VCP Code.txt)
Log: QG IncSoftwareCenterLog.active
DDC CI: Enabled Mode
Also are you first connecting the monitor and then opening the QG IncDC : YES
--------------------------------------
[Verification] 
1. The problem is also observed after doing the following steps and then repeating the same scenario 9-13:
 a. Reboot the system
 b. Reset the monitor to the factory settings
 c. AC off/ on the monitor
 d. DC off/ on the monitor
 e. Reinstalling the QG Inc Software Center application
2. The problem is also observed after changing to other thunderbolt cable.",Func Tst - Display,Display - alizon,"alizon_238/ Display (Western QG Inc Kronos Z40c G3)/ QG Inc Software Center Version: 1.0.43.0/ QG Inc Zbook Fury 15 G7/ The backlight CANNOT be darker/ brighter again after turning ON the ""Enhanced Lighting"" toggle button from Camera Tools Card.","1. Connect the thunderbolt cable from the DUT to the system.
2. Power on the monitor.
3. Power on the system and boot up to Windows desktop.
4. The system detects Z40c G3 as Generic PnP Monitor properly.
5. Set the QG Inc Z40c G3 as primary display and the built-in LCD as extend monitor.
6. Set desktop timing to 5120x2160 @ 60Hz.
7. Launch the QG Inc Software Center. 
8. Select QG Inc Z40c G3 monitor card on left pane. 
9. Turn ON ""Enhanced Lighting"" toggle button from Camera Tools Card.
10. Sliding ""Brightness"" value from ""Enhanced Lighting"".
11. Check the backlight can be darker after sliding ""Brightness"" value to ""10"".
12. Turn OFF ""Enhanced Lighting"" toggle button.
13. Check the backlight can be brighter.
14. Turn ON ""Enhanced Lighting"" toggle button again.
15. The backlight CANNOT be darker/ brighter again after turning ON the ""Enhanced Lighting"" toggle button from Camera Tools Card. (Please refer to attached file: Fail.mp4)"
9,2081791,"Lehui QG Inc P24h G4 Monitor: DVT
--------------------------------------
QG Inc EliteBook 840 G8 Notebook PC (Corvette14) (Machine ID: 10314500393)
BIOS: QG Inc T76 Ver.01.04.02, 6/25/2021
OS: Windows 10 x64 21H1
Intel Iris Xe Graphics : 30.0.101.1003
QG IncDC Version: v1.0.44
Machine ID: 110001-0000832
DUT FW Version: RIM202_20220118 
DUT Package Version: 0.0.4.0
VCP code tester (Refer to the file: VCP Code.jpg, VCP Code.txt)
Log: QG IncSoftwareCenterLog.log.active
DDC CI: Enabled Mode
Also are you first connecting the monitor and then opening the QG IncDC : YES
--------------------------------------
[Verification] 
1. According to the SPEC definition, DUT does NOT support the ""Auto Pivot"" function. (Please refer to attached file: QG Inc P24h G4(MilkyWay-MT9700) OSD Tree v1.2 20211228.xlsm)
2. The problem is also observed after doing the following steps and then repeating the same scenario 7-9:
 a. Reboot the system
 b. Reset the monitor to the factory settings
 c. AC off/ on the monitor
 d. DC off/ on the monitor
 e. Reinstalling the QG Inc Software Center application
3. The problem is also observed after changing to the following HDMI cables:
 a. Cable Vendor: Fei-tai
 b. Cable Vendor: HongLin
4. The problem is also observed after changing to the following input:
 a. DP
 b. VGA
5. The problem is also observed on all configurations listed in the test plan.
--------------------------------------
[Cross Reference]
The problem is also observed on the other DUTs. (Machine ID: 110001-0000828, 110001-0000829, 110001-0000830, 110001-0000831, 110001-0000833, 110001-0000837)",Func Tst - Display,Display - alizon,"alizon_012/ Display (Lehui QG Inc P24h G4)/ QG Inc Software Center Version: 1.0.44/ QG Inc EliteBook 840 G8 Notebook PC (Corvette14)/ The ""Enable Auto Pivot"" toggle button shows up on Pivot card but DUT does NOT support Auto Pivot function.","1. Connect HDMI cable from DUT to the system. (Cable Vendor: Coxoc)
2. Power on the monitor.
3. Power on the system and boot up to Windows desktop.
4. The system detects DUT as Generic PnP Monitor properly.
5. Set the DUT as primary display and the built-in LCD as extend monitor.
6. Set desktop timing to 1920x1080 @ 60Hz.
7. Launch the QG Inc Software Center.
8. Select QG Inc P24h G4 monitor card on left pane. 
9. Select the ""VIEW"" tab.
10. The ""Enable Auto Pivot"" toggle button shows up on Pivot card but DUT does NOT support Auto Pivot function. (Please refer to attached file: Fail.jpg, Fail.mp4)"
